author,comment,timestamp,like_count,tipe_produk,brand,segment,release_date
@Jery-d9z,Bagi 1 aja iPhone bang David yang iPhone 1 klo ada 🗿,2024-11-17T03:14:46Z,0,iPhone 16,Apple,Flagship,October 2024
@AzzamAulianRamadhan,Iphone 11 aja blom kebli 😂,2024-11-17T01:02:58Z,0,iPhone 16,Apple,Flagship,October 2024
@A2NPROJECT69,"Ati ati kena pidana kalau dibawa ke indonesia meskipun sudah bayar cukai,",2024-11-17T00:31:35Z,0,iPhone 16,Apple,Flagship,October 2024
@ociabdullah25,"Di berita.. Katanya iphone 16 illegal.. Dilarang masuk indonesia.. 
Dan di Larang mempromosikan iphone 16..
Hati2 kena pasal.. Karena mempromosikan produk yang dilarang pemerintah..
Sebaiknya videonya dihapus",2024-11-16T18:43:34Z,0,iPhone 16,Apple,Flagship,October 2024
@MochamadKevin-p2l,Mending buat shodaqoh anak yatim  piatu,2024-11-16T18:12:02Z,0,iPhone 16,Apple,Flagship,October 2024
@MochamadKevin-p2l,Rak pingin,2024-11-16T18:11:08Z,0,iPhone 16,Apple,Flagship,October 2024
@GinzGinanjar-g8f,Barang ilegal ngapain di bahas bro,2024-11-16T16:35:39Z,0,iPhone 16,Apple,Flagship,October 2024
@nabitapati645,Alhamdulillah udah  kebeli  16 promax  minggu  ini,2024-11-16T10:32:46Z,0,iPhone 16,Apple,Flagship,October 2024
@ivans.r3859,"Biasanya sih yang nonton doang gak bakal komentar😅
Makanya saya komentar biar tidak termasuk nonton doang😁",2024-11-16T05:34:24Z,0,iPhone 16,Apple,Flagship,October 2024
@finaldikurniawan,tim yang masi make ip 14,2024-11-15T19:07:18Z,1,iPhone 16,Apple,Flagship,October 2024
@MalikWicaksono-j7t,Iphone 16 jangan masuk kalau masih nuntut free tax 😅,2024-11-15T15:27:06Z,0,iPhone 16,Apple,Flagship,October 2024
@cremichannel756,Kasihan rakyat Indonesia beli iphone harus ke luar negeri sebrang padahal iphone di Indonesia laku berat,2024-11-15T11:07:35Z,0,iPhone 16,Apple,Flagship,October 2024
